Flight Number,Origin,Destination,Company,Departure Time,Arrival Time,Duration Time,Flight Price,Date,Cabin Class
IndiGo - 762,BOM,DEL,IndiGo ,06:00,07:55,1h 55m,"4,970",16-08-2025,Economy
Air India - 2986,BOM,DEL,Air India ,00:50,03:00,2h 10m,"4,720",16-08-2025,Economy
IndiGo - 656,BOM,DEL,IndiGo ,05:00,07:05,2h 05m,"4,970",16-08-2025,Economy
Air India - 2930,BOM,DEL,Air India ,05:15,07:35,2h 20m,"4,801",16-08-2025,Economy
Air India Exp - 1124,BOM,DEL,Air India Exp ,00:35,02:55,2h 20m,"4,500",16-08-2025,Economy
IndiGo - 301,BOM,DEL,IndiGo ,07:00,09:10,2h 10m,"5,070",16-08-2025,Economy
IndiGo - 615,BOM,DEL,IndiGo ,13:35,15:45,2h 10m,"5,070",16-08-2025,Economy
IndiGo - 6028,BOM,DEL,IndiGo ,12:30,14:40,2h 10m,"5,070",16-08-2025,Economy
Air India Exp - 2146,BOM,DEL,Air India Exp ,02:15,04:40,2h 25m,"4,500",16-08-2025,Economy
Air India - 2424,BOM,DEL,Air India ,04:25,06:35,2h 10m,"5,195",16-08-2025,Economy
Air India - 2954,BOM,DEL,Air India ,02:35,05:00,2h 25m,"4,720",16-08-2025,Economy
IndiGo - 6704,BOM,DEL,IndiGo ,15:00,17:15,2h 15m,"5,070",16-08-2025,Economy
Akasa Air - 1410,BOM,DEL,Akasa Air ,07:05,09:20,2h 15m,"5,207",16-08-2025,Economy
Air India - 2419,BOM,DEL,Air India ,11:40,13:55,2h 15m,"5,431",16-08-2025,Economy
Air India - 2944,BOM,DEL,Air India ,14:40,16:55,2h 15m,"5,431",16-08-2025,Economy
IndiGo - 2517,BOM,HDO,IndiGo ,07:40,09:40,2h,"5,909",16-08-2025,Economy
Air India - 2422,BOM,DEL,Air India ,01:50,04:10,2h 20m,"5,195",16-08-2025,Economy
Air India - 2428,BOM,DEL,Air India ,06:40,08:45,2h 05m,"5,987",16-08-2025,Economy
Air India - 2994,BOM,DEL,Air India ,10:30,12:45,2h 15m,"5,668",16-08-2025,Economy
IndiGo - 333,BOM,DEL,IndiGo ,08:05,10:15,2h 10m,"5,695",16-08-2025,Economy
Air India - 2970,BOM,DEL,Air India ,07:45,09:55,2h 10m,"5,936",16-08-2025,Economy
Air India - 2432,BOM,DEL,Air India ,08:45,10:55,2h 10m,"5,987",16-08-2025,Economy
Air India - 2952,BOM,DEL,Air India ,12:30,14:55,2h 25m,"5,668",16-08-2025,Economy
